English,Russian
it,Это
of,из
me,меня
what,какие
is,является
in,в
this,это
know,знать
I'm,я
for,для
no,нет
have,имеют
my,мой
don't,не
just,просто
not,нет
do,делать
be,быть
on,на
your,ваш
was,было
we,мы
it's,это
with,с участием
so,так
but,но
all,все
well,хорошо
are,находятся
he,он
oh,ой
about,о
right,верно
you're,Вы
get,получать
here,здесь
out,вне
going,идущий
like,нравиться
yeah,Ага
if,если
her,ее
she,она
can,может
up,вверх
want,хочу
think,считать
that's,это
now,сейчас
go,идти
him,ему
at,в
how,как
got,получил
there,там
one,один
did,сделал
why,Зачем
see,видеть
come,прийти
good,хорошо
they,Они
really,В самом деле
as,в виде
would,было бы
look,смотрю
when,когда
time,время
will,будут
okay,хорошо
back,назад
can't,не может
mean,иметь в виду
tell,рассказать
I'll,Больной
from,из
hey,Привет
were,мы
he's,он
could,мог
didn't,не
yes,да
his,его
been,был
or,или же
something,что-нибудь
who,кто
because,так как
some,некоторый
had,имел
then,тогда
say,сказать
ok,ОК
take,брать
an,
way,способ
us,нас
little,маленький
make,делать
need,нужно
gonna,собираюсь
never,никогда
we're,были
too,тоже
love,любовь
she's,она
I've,Я
sure,Конечно
them,их
more,более
over,над
our,наш
sorry,Извините
where,где
what's,какой
let,позволять
thing,вещь
am,являюсь
maybe,может быть
down,вниз
man,человек
has,имеет
uh,Эм-м-м
very,очень
by,от
there's,есть
should,должен
anything,что-нибудь
said,сказал
much,много
any,любой
life,жизнь
even,четный
off,выключенный
please,пожалуйста
doing,делает
thank,благодарить
give,дайте
only,Только
thought,мысль
help,помощь
two,два
talk,говорить
people,люди
god,Бог
still,по-прежнему
wait,ждать
into,в
find,найти
nothing,ничего такого
again,очередной раз
things,вещи
let's,Давайте
doesn't,не
call,вызов
told,сказал
great,большой
before,перед
better,лучше
ever,Когда-либо
night,ночь
than,чем
away,далеко
first,первый
believe,полагать
other,Другие
feel,Чувствовать
everything,все
work,Работа
you've,вы имеете
fine,отлично
home,дом
after,после
last,последний
these,эти
day,день
keep,хранить
does,делает
put,ставить
around,вокруг
stop,останавливаться
they're,они
I'd,Идентификатор
guy,парень
long,длинный
isn't,не
always,всегда
listen,Слушать
wanted,в розыске
Mr.,Мистер.
guys,ребята
huh,Хм
those,те
